GeneID	Symbol	description
3979178	ND4L	NADH dehydrogenase subunit 4L
3979179	ND4	NADH dehydrogenase subunit 4
3979180	ND5	NADH dehydrogenase subunit 5
3979181	ND6	NADH dehydrogenase subunit 6
3979182	CYTB	cytochrome b
3979183	ND1	NADH dehydrogenase subunit 1
3979184	ND2	NADH dehydrogenase subunit 2
3979185	COX1	cytochrome c oxidase subunit I
3979186	COX2	cytochrome c oxidase subunit II
3979187	ATP8	ATP synthase F0 subunit 8
3979188	ATP6	ATP synthase F0 subunit 6
3979189	COX3	cytochrome c oxidase subunit III
3979190	ND3	NADH dehydrogenase subunit 3
11130776	NEWENTRY	Record to support submission of GeneRIFs for a gene not in Gene (Chinese hamster; Chinese hamsters; Cricetulus aureus; Cricetulus barabensis griseus; Cricetus griseus).
100682525	Tp53	tumor protein p53
100682526	Tuba1c	tubulin, alpha 1C
100682527	Tuba1a	tubulin, alpha 1A
100682528	Tuba1b	tubulin, alpha 1B
100682529	Mgat1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
100682530	Plec	plectin
100682531	Kif23	kinesin family member 23
100682532	Manea	mannosidase endo-alpha
100682533	Aimp2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2
100682534	Furin	furin, paired basic amino acid cleaving enzyme
100682535	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4
100682536	Abcb1	ATP binding cassette subfamily B member 1
100682537	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B
100682538	Ahr	aryl hydrocarbon receptor
100682539	Slc35c2	solute carrier family 35 member C2
100684971	Adam17	ADAM metallopeptidase domain 17
100689008	LOC100689008	MHC class I antigen Hm1-C5
100689009	LOC100689009	MHC class I antigen Hm1-C4
100689010	LOC100689010	MHC class I antigen Hm1-C2
100689011	LOC100689011	MHC class I antigen Hm1-C3
100689015	Pex5	peroxisomal biogenesis factor 5
100689016	Polr2a	RNA polymerase II subunit A
100689017	Srebf2	sterol regulatory element binding transcription factor 2
100689018	Srebf1	sterol regulatory element binding transcription factor 1
100689019	Chcr1	carbonyl reductase 1
100689020	Chcr2	carbonyl reductase 2
100689021	Cbr3	carbonyl reductase 3
100689022	Fpgs	folylpolyglutamate synthase
100689023	Slc20a2	solute carrier family 20 member 2
100689024	LOC100689024	gibbon ape leukemia retrovirus receptor/Sodium-dependent Pi transporter
100689025	Slc20a1	solute carrier family 20 member 1
100689026	Ubtf	upstream binding transcription factor, RNA polymerase I
100689027	Col7a1	collagen type VII alpha 1 chain
100689028	Dhfr	dihydrofolate reductase
100689029	Lpin1	lipin 1
100689030	Slc35b4	solute carrier family 35 member B4
100689031	Slc35a2	solute carrier family 35 member A2
100689032	Bax	BCL2 associated X, apoptosis regulator
100689033	Cyp2a14	Cytochrome P-450 2A14
100689034	Cyp2a17	cytochrome P450 2A17
100689035	Cyp2a15	cytochrome P450 2A15
100689036	Fut9	fucosyltransferase 9
100689037	Gja4	gap junction protein alpha 4
100689038	Col4a3bp	collagen type IV alpha 3 binding protein
100689039	Cdk2	cyclin dependent kinase 2
100689040	Hmga1	high mobility group AT-hook 1
100689041	Hspg2	heparan sulfate proteoglycan 2
100689042	Orc5	origin recognition complex subunit 5
100689043	Orc4	origin recognition complex subunit 4
100689044	Ercc4	ERCC excision repair 4, endonuclease catalytic subunit
100689045	Rpsa	ribosomal protein SA
100689046	Top1	DNA topoisomerase I
100689047	Pex2	peroxisomal biogenesis factor 2
100689048	Scap	SREBF chaperone
100689049	Mpdu1	mannose-P-dolichol utilization defect 1
100689050	Adapt15	hydrogen peroxide-induced mRNA
