Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
10768,3.03606674206449,3.00257107193353,3.02375669674688,3.88158987728545,3.85292885435083,3.88824728768723
23382,3.03606674206449,3.00257107193353,3.02375669674688,3.88158987728545,3.85292885435083,3.88824728768723
11041,3.341393045858,3.25658637469445,3.30670563111281,3.60847658400004,3.65134711993355,3.61379760364326
483,3.28833476787241,3.33675793913858,3.3549999955373,3.60747905777182,3.57385498137891,3.6213590334644
25796,3.69228942508487,3.40045569629682,3.75108195330661,3.3559522982306,3.29387128614504,3.27927959440857
203,3.64400379632939,3.41852825975438,3.8218766397556,3.32867876640448,3.2838756485631,3.2721970297918
10558,3.49758008191016,3.55921770124794,3.58696022911091,3.40588073137157,3.39639700940827,3.34360219961515
8803,3.23668577002132,3.47462583622093,3.38499562546293,3.57307883251138,3.5454823760141,3.57081171855849
3145,3.71140192316353,3.28413095925418,3.76080606719922,3.27496360084372,3.45890635027027,3.27888590690317
4357,3.59798145807305,3.55743318719362,3.49679802796184,3.37236262741651,3.3919414939684,3.37292713423946
9653,3.57537167990604,3.15931285588155,3.29519159224124,3.55681295947267,3.62330222772909,3.56676574330844
229,3.42557212827384,3.61285631649054,3.66861182864731,3.27302184762451,3.37915045049267,3.42409914560999
10380,3.64009652176255,3.40259984605269,3.66844199771195,3.42907415063975,3.44865261616107,3.19030014979475
10682,3.48310105141071,3.0449313140514,3.51493564840121,3.54305041689341,3.59177707584349,3.59523130386941
3251,3.79517062710371,3.26796788359459,3.72890540225541,3.51876379835855,3.17244085277442,3.27692350887078
3099,3.36190715775654,3.47497441929743,3.3067799525385,3.6558344376891,3.41329911374988,3.5729493261703
4124,3.34590189391585,3.37819604056398,3.4101795317541,3.52020026411987,3.57399779869353,3.56105326491017
5238,3.66870007406563,3.53297433133022,3.57431009462052,3.62451638429695,3.1631250773324,3.20686134688516
283871,3.62436005546024,3.3980903342318,3.6482683151354,3.35000032483353,3.27280259094085,3.4894620662053
