Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
10768,3.04530067000828,3.0117307637526,3.03296339996894,3.89254177497739,3.86382715796512,3.89921159027597
23382,3.04530067000828,3.0117307637526,3.03296339996894,3.89254177497739,3.86382715796512,3.89921159027597
11041,3.341393045858,3.25658637469445,3.30670563111281,3.60847658400004,3.65134711993355,3.61379760364326
483,3.28582174661393,3.33421887596101,3.35245118698788,3.60479895526328,3.57119198393133,3.61867190346544
25796,3.65959262468099,3.36956293407115,3.7180342076911,3.32534395555155,3.26366392608389,3.24916720252051
203,3.55152222764789,3.33005929998527,3.72635269879088,3.24185895829732,3.19788911648951,3.18642891051392
10558,3.32011348635999,3.37956521250628,3.4063323409684,3.23171459027445,3.22257554848428,3.17171109103596
8803,3.17395787313988,3.40867480693956,3.32024099736105,3.50583779587288,3.47860040454239,3.50360010628062
3145,3.65965836505463,3.23660113404088,3.70859788888911,3.22752814758503,3.409609700743,3.23141005510969
4357,3.59798145807305,3.55743318719362,3.49679802796184,3.37236262741651,3.3919414939684,3.37292713423946
9653,3.57537167990604,3.15931285588155,3.29519159224124,3.55681295947267,3.62330222772909,3.56676574330844
229,3.27449884739731,3.45604923664973,3.5101376076195,3.12677521902137,3.22953087347486,3.27307179090369
10380,3.64009652176255,3.40259984605269,3.66844199771195,3.42907415063975,3.44865261616107,3.19030014979475
10682,3.48310105141071,3.0449313140514,3.51493564840121,3.54305041689341,3.59177707584349,3.59523130386941
3251,3.7567343201925,3.23330637409556,3.69092212818834,3.48225726832842,3.13850661550785,3.24219452218226
3099,3.41299444325363,3.52724675946005,3.35727955654157,3.70994696510678,3.46492839485739,3.62622686868986
4124,3.34590189391585,3.37819604056398,3.4101795317541,3.52020026411987,3.57399779869353,3.56105326491017
5238,3.66870007406563,3.53297433133022,3.57431009462052,3.62451638429695,3.1631250773324,3.20686134688516
283871,3.51248195136113,3.29113021831555,3.53588317025508,3.24411379189037,3.16866070161879,3.38048973592334
7167,3.64603252861911,3.59241005793775,3.70752431602043,3.51535031792067,3.5075143976102,3.5336915866339
2683,3.33044889543283,3.25602656129231,3.48684393781309,3.5844434133269,3.58310322860521,3.54393058822503
52,3.57161887089566,3.51070718721393,3.67137640892726,3.16960575442918,3.54518906878878,3.30862266667151
11253,3.32531562527401,3.40969986253425,3.36593980774449,3.49591736844412,3.51446496122652,3.50889466590018
5050,3.555027226278,3.19896495851731,3.5250546241407,3.30751285916799,3.2135365434066,3.18454564463947
56994,3.36796012761484,3.29966888941769,3.35657155166724,3.49184691332625,3.46595648679673,3.47536335322742
644,3.45007258506089,3.37973250286179,3.39729960818986,3.17714538139436,3.35462703491743,3.22866113251578
4719,3.38644755911644,3.44920833705634,3.38367722674601,3.55047834109267,3.49949081208821,3.52262948863937
7384,3.20065564409234,3.48257898970064,3.45502648321444,3.55864277007464,3.51980571685075,3.56853573372322
5631,3.40415227111629,3.39920352391662,3.36662213254472,3.55560802098528,3.48705020190821,3.50760157926266
5634,3.40415227111629,3.39920352391662,3.36662213254472,3.55560802098528,3.48705020190821,3.50760157926266
1373,3.20108474969024,3.73840084766594,3.75231041721274,3.4639044508152,3.23782209504617,3.37207901618527
57026,3.61103663959282,3.34038685862434,3.51952545249247,3.41557095531808,3.36863167012553,3.21525439199888
4257,3.28418217213799,3.59647902041154,3.24922444755347,3.52271896299754,3.55016986224169,3.57968784538422
1329,3.27183384933002,3.20679764890271,3.2836327526148,3.27483878050963,3.48745031377815,3.44337111315036
5049,3.42559235880494,3.42798917167824,3.32678060354245,3.30914926012717,3.29669276862972,3.17582485293672
5162,3.32352225373758,3.48619711066064,3.34672834639528,3.48919547848849,3.51517645346029,3.55490825025468
4723,3.44197966450352,3.50184144876952,3.2268558475207,3.50650076629601,3.56083597007621,3.54882708190269
55902,3.6018797169597,3.49648054722902,3.53429920853765,3.16054122774513,3.48250671534331,3.50694442104155
353,3.62343084729443,3.21793269566361,3.5571676969668,3.39393694684118,3.23983190702625,3.27218008426114
