geneSymbol,TR1,TR2,TR3,WR1,WR2,WR3,Entrez
A1BG,62.193714,63.397572,57.457601,45.427897,43.817572,47.449779,1
A1CF,48.890087,48.633393,48.345173,54.42531,53.25634,49.25644,29974
A2M,2310.013163,2283.468564,2365.54965,1625.141099,1667.306332,1634.46938,2
A2M-AS1,0.179618,0.480348,0.340966,0.472626,0.437049,0.583203,144571
A2ML1,0.041607,0.046892,0.066633,0,0.025683,0.014363,144568
A4GALT,0.3383,0.061791,0.24462,0.022898,0,0.267745,53947
AAAS,52.846755,51.499342,53.30492,64.10657,65.606921,64.329767,8086
AACS,35.589243,37.629831,37.130509,26.176254,27.106651,27.562322,65985
AACSP1,0.068018,0.084847,0.040475,0.125513,0.16027,0.129906,729522
AADAC,11.638899,11.580645,12.207132,16.23324,16.619521,15.970907,13
AADACL2-AS1,1.0605,0.669936,0.87006,0.3395,0.37199,0.279698,101928142
AADACL3,0.01541,0,0,0.010671,0,0.037442,126767
AADACP1,0.274456,0.306795,0.147057,0.341685,0.129075,0.125148,201651
AADAT,5.32353,4.635566,4.801834,5.925209,6.662503,5.864672,51166
AAGAB,52.184122,54.777041,53.651644,57.75919,61.488011,48.45235,79719
AAK1,6.399262,6.248089,6.202589,5.545116,5.529129,4.85261,22848
AAMDC,51.55732,51.694048,54.70999,45.638255,42.877966,38.896503,28971
AAMP,171.270031,174.41634,177.242776,196.38559,186.483599,192.675869,14
AANAT,0.216916,0.498504,0.086462,0.072205,0.068947,0,15
AAR2,29.071031,29.161815,30.05954,38.26143,37.231687,37.023164,25980
AARD,0,0.035104,0.033565,0.052104,0,0.099857,441376
AARS2,17.544517,17.826023,18.071054,16.65957,16.689928,18.954014,57505
AARSD1,31.690001,29.057593,30.326505,42.646553,44.115773,45.985074,80755
AASDH,5.324825,5.489174,4.877391,5.453466,5.676821,5.328319,132949
AASDHPPT,17.61515,16.008179,16.87001,25.212591,23.063233,22.24394,60496
AASS,10.835353,10.227908,9.344723,9.702583,9.647215,8.630393,10157
AATBC,0.013487,0,0.012026,0,0,0,284837
AATF,50.083748,46.233421,50.690795,67.932148,68.570469,69.334414,26574
AATK,0.024854,0.032578,0.022036,0.017212,0.014637,0.028503,9625
ABALON,0.034981,0.065285,0.124802,0.0242,0.041147,0.039968,103021294
ABAT,17.002406,17.514093,15.774588,13.168186,13.4457,13.762113,18
