entrezID,basophil,classical monocyte,eosinophil,gdT-cell,intermediate monocyte,MAIT T-cell,memory B-cell,memory CD4 T-cell,memory CD8 T-cell,myeloid DC,naive B-cell,naive CD4 T-cell,naive CD8 T-cell,neutrophil,NK-cell,non-classical monocyte,plasmacytoid DC,T-reg
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.3,9.4,1.1,55.9,158.7,33.3,5.8,39.9,61.8,36.8,4.7,29.3,45.2,2.3,120.9,350,245,30.5
1000,1.9,0,0,0,0,0.3,0,0,0,0,0,0,0,1.1,0.3,0,0,0
10000,1.1,0.7,0.1,0.9,0.1,1.4,0.5,0.7,0.7,0.3,0.9,0.6,0.8,0.6,2,0.3,0.5,0.2
100008586,1.4,11.5,4.2,6.3,9.7,3.6,7.4,14.3,10.9,0,7.4,11.2,10.7,0.9,17.2,8.7,12.7,21.3
10001,19.4,15.5,24.5,22.8,18,24.7,15.1,26.1,24.5,19.2,17.9,22.9,24.9,12.8,28.9,22.1,15.7,25.1
10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
100033411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100037417,56.6,89.6,70.9,59.7,78.8,55.6,60,62.3,59.4,91.4,63,53.2,55.9,48.6,79.8,76.4,146.5,78
10004,184,20.3,35.6,38.6,14.2,18.3,21.3,26.7,18.2,17,26.5,29.1,17.4,3.2,100.4,8.8,0.7,46.8
100049587,16.7,102,1.8,0.3,121.4,0.2,16.3,0.2,0.3,68.5,17.8,0.1,0.1,163.9,0.9,92.1,13.6,0.2
10005,29.1,33.8,43,31.1,32.9,25.7,22.2,26,26.5,38.2,23.9,21.5,25,20.5,21.6,33.1,26.1,33.3
10006,71.4,34,91.8,55.4,42.2,48.8,47.3,46.6,58.9,41,41,41.2,48.4,52.3,47,43.8,38.5,80.6
10007,0.2,46.7,7.1,48.1,56.5,91.5,16.2,33.9,41.5,53.7,8.6,38.6,44.7,10.2,19.2,53.7,32.6,28.9
10008,45.1,37.3,23.3,0.2,41.4,0.3,0.2,0.1,0.1,19,0.3,0.1,0.1,43.7,0.3,35.3,0.8,0.1
10009,10.4,4.1,5.7,3.9,6.5,6.1,2,4.4,4.7,6.4,2.2,5.1,3.9,0.7,5.6,4.3,7.6,3.7
1001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,112,68.1,98,47.5,76.7,66,53.2,66.7,64.5,69.2,60.5,43.5,46.2,155,57,91.6,49.1,105.3
100101267,0.2,0.4,0.4,1.6,0.5,1.2,0.7,1,0.4,0.3,1.1,0.5,0.7,1,1.3,0.3,1.3,0.2
100101467,1.3,0.6,2.3,2.9,0.8,1.6,2.1,2.2,1.5,1.1,3.5,2.4,3,1.9,2.7,1,3.1,2
100101490,0,0.2,0.1,0.4,0.2,0.8,0.3,0.4,0.6,0.8,0.5,0.8,0.6,0,1.1,0.1,0.4,0.2
100101629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,14.5,25.2,19.9,13.8,22.7,11.6,11.6,11.4,12.5,26,10.6,8.9,11,35.2,16.5,22.4,16.9,19.8
100113407,0.7,0.8,0.4,0,0.4,0,0,0,0,0.5,0,0,0,0.2,0,0.2,1,0
100125288,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
